AccountName,AccountEmail,OrganizationalUnit,Environment
Student01,student01+batch14@example.com,Batch14,Development
Student02,student02+batch14@example.com,Batch14,Development
Student03,student03+batch14@example.com,Batch14,Development
Student04,student04+batch14@example.com,Batch14,Development
Student05,student05+batch14@example.com,Batch14,Development
Batch15Student01,student01+batch15@example.com,Batch15,Development
Batch15Student02,student02+batch15@example.com,Batch15,Development
Batch15Student03,student03+batch15@example.com,Batch15,Development
SandboxTest01,test01+sandbox@example.com,Sandbox,Development
SandboxTest02,test02+sandbox@example.com,Sandbox,Development
